transaction_id,customer_id,customer_name,gender,age,location,transaction_date,purchase_amount,down_payment,installment_amount,installments,payment_status,product_category,merchant_name,customer_income,credit_score,late_payments,account_created,fraud_flag
667a639d-686b-43a7-8040-eb50ee6457df,7120013d-3b9a-4125-9e24-885a88b07fa4,Crystal Singh,Male,33,Sheffield,2024-11-30,1462.06,167.0,177.87,1,Missed,Home,eBay,2554.81,371,2,2023-01-12,0
48c39a7f-a94a-408d-a6d1-e5a2ed329562,808d51a2-3564-4ac7-9250-c47e0d215696,Jason Schroeder,Other,28,Leeds,2024-10-26,842.93,72.07,117.19,2,Missed,Home,Amazon,4656.38,411,1,2022-12-15,0
d2578768-a2e8-4cb9-8dd4-48987059668d,b357d186-2642-4ae1-82b9-d436ab38a550,Heather Gregory,Other,45,Sheffield,2024-05-15,781.59,244.76,210.26,8,Paid,Electronics,Zara,5317.14,799,0,2023-08-22,0
398a7067-a195-4b81-abbe-17fa7cecbffa,d35d0ddd-4cd0-4b7b-8380-767d6ff8d426,Judy Tran,Male,63,Manchester,2024-10-27,1007.49,159.57,268.36,1,Missed,Home,Currys,4290.49,754,1,2022-06-01,0
7544ead9-aac7-47df-a6fe-79b338324fb6,34914080-e016-4c6c-ad52-3c050c916554,Terry Page,Female,51,London,2025-02-16,1915.33,362.62,30.25,11,Missed,Sports,Tesco,2233.52,453,0,2022-04-23,0
dcfb3eb2-aa5d-409b-bc18-2df7c3d1b1b1,1c798122-13aa-44bc-a77a-730eaf3c5591,Eric Miller,Male,49,Sheffield,2024-07-03,1083.42,407.34,282.75,8,Paid,Groceries,Tesco,3152.21,833,1,2022-07-13,0
4242c420-a8bd-41d1-b127-a295f0beb397,ccdaa9fd-9840-4d33-a001-6254e69ff211,John Hunt,Male,55,Leeds,2025-01-08,1546.13,123.63,199.88,8,Paid,Fashion,Argos,6378.28,578,2,2023-04-04,0
0526bba1-cc5a-497d-8e04-65835f1cbd60,e7f26f9f-d5b2-4438-b3a5-b50b5311b2ae,John Gardner,Other,61,Birmingham,2024-09-07,78.14,258.67,223.41,8,Missed,Home,Tesco,8170.8,649,0,2024-04-11,0
1dbf1d9a-6f58-40b0-81c1-fee05fe42887,853bb183-0a93-4adf-b1cb-70dd4bff2013,Robert Gonzalez,Female,51,Manchester,2024-10-02,1705.58,83.81,217.13,3,Paid,Home,Asda,9318.62,562,1,2023-10-12,0
ca7e6294-82c1-48d9-9eef-a027da479604,03e5d7bd-b70b-4902-aa17-e2ec881ba9cd,Jeremy Hunt,Other,21,London,2024-04-30,1610.48,381.57,113.01,2,Missed,Home,eBay,9357.78,628,1,2023-05-05,0
bbc30c9c-ff98-4794-b65e-9b5114245756,3ef28852-cf67-43c6-8d14-28f90d3db083,Meagan Crawford,Other,21,Sheffield,2024-06-23,1689.22,108.03,282.39,3,Missed,Beauty,Asda,2565.52,786,2,2023-09-23,0
c619242d-d54f-48ef-a646-de57e03da423,d040235a-0720-4cbf-90c0-a0d0ea302c93,Linda Quinn,Female,46,Manchester,2024-06-24,1829.54,293.25,294.68,7,Ongoing,Groceries,Asda,6876.95,553,1,2024-01-18,0
cb36e8fd-9da6-4ae0-8216-d3df600bbe21,bf071a5e-13bf-48b5-b024-cfccd02dc24c,Angela Carson,Male,25,Manchester,2024-08-28,128.86,498.56,160.47,11,Ongoing,Electronics,Argos,4023.86,802,1,2023-10-31,0
5d7f33bb-8673-4e25-ae81-ca04b57b280c,c3d9078d-9150-4160-9361-101640b6bc1c,Robert Williams,Female,29,Leeds,2024-10-07,633.5,459.39,128.5,11,Ongoing,Groceries,Nike,3862.26,801,3,2022-06-25,0
9cf7d3d1-0f58-4130-92c5-ff428d2f8df1,fde17036-8715-4928-9056-57294e730a34,Allen Thompson,Other,52,Sheffield,2025-02-14,562.3,356.42,269.1,10,Ongoing,Groceries,Currys,2683.94,707,1,2023-08-23,0
b3c6a4f7-2ba8-45ed-8683-ce4e640642a6,e303deb6-1de1-456e-843b-1deeccd1f2e2,Nicholas Greene,Other,29,Birmingham,2024-05-05,1310.41,326.49,28.28,10,Ongoing,Fashion,Zara,8648.87,379,0,2023-10-10,0
91f952c0-febc-48d9-be1d-7b3d56a85f5d,d0513cbf-ae1a-4153-9140-f7133f4199ee,Madison Davidson,Male,30,Birmingham,2024-07-17,1051.82,258.49,45.07,7,Ongoing,Groceries,Tesco,6198.17,701,1,2024-03-11,0
4735a43f-382a-46c9-8a0e-6e96132e75c9,04617154-68a8-499b-8899-1afc18ffa28a,James Calhoun,Male,19,London,2024-06-21,693.02,281.07,177.56,2,Missed,Sports,Argos,1530.88,519,0,2022-08-07,0
5634000e-5b6c-4779-badd-36c82637aaf4,638a97f8-b639-4dd4-9cbb-d814c131b3b8,Renee Gordon,Other,35,Birmingham,2025-03-07,1121.75,130.83,212.05,5,Missed,Groceries,Zara,3355.75,804,1,2023-04-28,0
ea7e7037-2353-47e1-a3b3-34f1eb70a9d9,93b2b466-0b8c-4a99-bfb4-cab4ebf837e6,Amber Rasmussen,Other,41,Sheffield,2024-05-16,254.82,230.53,176.64,8,Ongoing,Beauty,eBay,3098.67,479,1,2023-07-02,0
29f52049-f731-4e4e-9d54-d1c4c1379721,91323d11-eb84-4711-ada2-7f85bce4dc11,Thomas Morris,Female,44,Liverpool,2025-01-16,1391.48,251.69,71.74,5,Paid,Beauty,eBay,1590.32,408,1,2022-08-17,0
aaa9a51e-cbe2-4eaf-8385-ee39e67824d9,3f6e0a7d-91be-4fc9-8efe-88e6b2605714,Debra Jones,Male,25,Glasgow,2024-07-06,1719.29,119.93,14.68,11,Missed,Groceries,Nike,2100.96,364,1,2023-02-22,0
d77938aa-6c8b-4471-ad91-e439a569377c,5dd78931-925b-43b2-a929-bfd429ec826c,John Harris,Other,22,Leeds,2025-02-07,1195.58,444.05,57.57,11,Ongoing,Electronics,Zara,8301.94,748,0,2023-01-18,0
4dc34b1d-ac29-4e57-8caa-beb664ca2c3a,fdfdbe10-1947-4c1e-8a7b-e4a24381f634,Alexander Livingston,Female,34,London,2024-08-05,339.52,191.91,152.41,1,Paid,Fashion,Asda,2469.39,457,1,2023-05-25,0
50711c35-b0ab-4561-a617-2cb7bd499ab5,1dd72c4c-b509-49d6-bcaa-fefd73fcfadf,David Parsons,Male,39,Birmingham,2025-04-17,1500.06,74.56,17.6,6,Ongoing,Groceries,Nike,6022.6,549,0,2023-08-03,0
7f980a19-8c19-4c25-a7e6-f16674b06379,13ca7765-cc92-4a8b-a9ad-3f2a5e94c42b,Claire Pineda,Female,64,Birmingham,2024-11-07,1166.23,421.37,127.45,9,Paid,Electronics,eBay,5334.13,645,2,2023-12-27,0
d3548803-540f-440b-8ff5-c4e0d47ea905,af32f158-7625-43ce-8426-796aaec4ad75,Edwin Lewis,Other,35,Sheffield,2025-03-12,1795.01,448.31,186.76,6,Missed,Sports,Currys,1920.84,750,2,2023-09-12,0
3293d7cf-873a-4539-836b-d9c18aca61d2,bf63e075-2459-4f7e-95ca-f7e15b300e7b,Margaret Barber,Male,54,London,2025-01-13,1727.84,304.4,67.94,7,Ongoing,Home,eBay,7858.98,848,0,2024-03-04,0
b864b815-1f4f-4fa0-9fce-4445939f6d87,9ce6328c-4c45-4237-bb4a-0748fc5a400d,Timothy Davis,Other,21,Glasgow,2024-08-06,1433.24,409.77,33.23,1,Missed,Electronics,Zara,8961.86,811,0,2023-10-26,0
